step,mean_reward,std_reward
256,-51.523277282714844,0.0
512,-45.91461181640625,0.0
768,-43.50360870361328,0.0
1024,-45.22719192504883,0.0
1280,-46.65282440185547,0.0
1536,-46.98460388183594,0.0
1792,-48.17605209350586,0.0
2048,-47.3505859375,0.0
2304,-47.161643981933594,0.0
2560,-46.163665771484375,0.0
2816,-45.812599182128906,0.0
3072,-45.78310012817383,0.0
3328,-46.02980041503906,0.0
3584,-45.62614059448242,0.0
3840,-44.988277435302734,0.0
4096,-43.08815383911133,0.0
4352,-43.05738830566406,0.0
4608,-43.58730697631836,0.0
4864,-43.17707824707031,0.0
5120,-42.5480842590332,0.0
