profile_id,total_energy,electricity_cost,mean_temperature_deviation,total_discomfort,safety_violations,cumulative_reward,peak_hvac_energy,minimum_temperature,maximum_temperature,comfort_band_pct
validation_day_0001,7.0,4.949206837936813,0.7481646320173662,4.090350799099877,0,-4.725981687227313,1.0,20.25805575857613,24.197258500076384,66.66666666666666
validation_day_0002,7.0,5.297397474258067,0.7180268902831209,3.891960541871434,0,-4.716263711600187,1.0,20.481140257432397,24.422149284589295,70.83333333333334
validation_day_0003,10.0,6.673198187488061,1.0138586189443088,6.113075442513676,0,-6.7798698145030825,1.0,20.195437671297473,24.577555432214787,54.166666666666664
validation_day_0004,8.0,6.893735803308892,0.838531105894611,5.209891027380657,0,-5.862703571614041,1.0,20.212499575170224,24.761575799303486,62.5
validation_day_0005,10.0,7.207292297824355,0.8608099505274424,6.4970385547952425,0,-7.040273881482968,1.0,20.308218714222757,24.692077044164613,54.166666666666664
validation_day_0006,8.0,6.039993811443591,0.7723363557638788,4.013883865493781,0,-5.213552308486231,1.0,20.684726792151416,24.710154352592667,66.66666666666666
validation_day_0007,8.0,5.41415652913766,0.8950034977472839,4.460957528480034,0,-5.267214317219546,1.0,20.449839983419285,24.149740484727694,66.66666666666666
validation_day_0008,8.0,5.5869022281557115,0.7804646615064533,5.474396549748331,0,-5.707139065530475,1.0,20.605853225254652,24.431582954568626,62.5
validation_day_0009,8.0,5.4719503775338785,0.8124026422514982,5.604429462681079,0,-5.736161860579207,1.0,20.310769594651997,24.646339952811672,62.5
validation_day_0010,8.0,5.601394044945573,0.9238255389718525,4.571141643603106,0,-5.348735466430357,1.0,20.428988344554764,24.179952199182097,66.66666666666666
validation_day_0011,10.0,7.350154849947909,1.0406627595801032,6.445557675806956,0,-7.048254040312364,1.0,20.48330816940904,24.827931433867146,58.333333333333336
validation_day_0012,8.0,6.553076845575174,0.8951879629757942,5.131484412491677,0,-5.7632091341117055,1.0,20.22177908001729,24.487427420231434,62.5
validation_day_0013,5.0,3.254878811618885,0.6810051786152843,2.759442287142857,0,-3.2547526771809197,1.0,20.437153524819323,23.705526176840284,75.0
validation_day_0014,7.0,5.3976267239845015,0.7025722632113585,4.404468552665076,0,-4.941312765862931,1.0,20.658524531247195,24.842982896887573,70.83333333333334
validation_day_0015,8.0,5.39271794208894,0.8428758541599449,4.161120417713924,0,-5.142991755503358,1.0,20.58287137624686,24.41210804785022,66.66666666666666
validation_day_0016,8.0,5.532025313146867,0.8612529667646357,5.0787859887631015,0,-5.537919458134613,1.0,20.75329086276962,24.534605032780302,66.66666666666666
validation_day_0017,8.0,5.608298107058826,0.8980628073902541,4.367830796416801,0,-5.2687919399784855,1.0,20.580725939919986,24.244583412340663,66.66666666666666
validation_day_0018,11.0,8.537179949800432,1.0114591323326327,7.3103438054343854,0,-7.931573512133841,1.0,20.401718759096944,24.727153607443313,50.0
validation_day_0019,9.0,7.593863105059071,0.8812673705894455,5.707394271695183,0,-6.501730329689887,1.0,20.585551634230125,24.74794275172283,62.5
validation_day_0020,6.0,5.27824823312482,0.7184004108530379,3.906545010305763,0,-4.41826765074727,1.0,20.767936965767383,24.444897209500766,75.0
validation_day_0021,9.0,5.951078092916369,0.9553463133278638,5.6096886887002455,0,-6.134091094063372,1.0,20.271472522402664,24.35313528355602,62.5
validation_day_0022,8.0,6.345434081361971,0.9048574172894894,5.206565343118207,0,-5.751712953519677,1.0,20.289439866933463,24.624095934887094,62.5
validation_day_0023,7.0,5.713993609415002,0.7463613690318587,4.70261151047556,0,-5.123843326073224,1.0,20.85028321737939,24.63457480136757,70.83333333333334
validation_day_0024,8.0,6.563942859667311,0.861712995705428,5.839294714757948,0,-6.048506457836641,1.0,20.228375203157455,25.086546140473985,62.5
validation_day_0025,4.0,3.6232432241097285,0.6502941768611462,2.5271721417589923,0,-2.935517501525543,1.0,20.810637818907473,24.58587539268929,83.33333333333334
validation_day_0026,8.0,5.5195072540090635,0.8960064746497617,4.463623225877349,0,-5.289350741152752,1.0,20.260569017079806,23.99512179043617,66.66666666666666
validation_day_0027,5.0,4.267316204198983,0.6750297004156711,3.307417518841543,0,-3.676430248376414,1.0,20.805579941581577,24.53314741021993,79.16666666666666
validation_day_0028,7.0,5.090529959109996,0.7097800029037163,4.141161414335549,0,-4.774570557556219,1.0,20.493455824056014,24.3740820463177,66.66666666666666
validation_day_0029,10.0,7.430086858423104,0.8524816798549263,6.501335652118186,0,-7.086551632531895,1.0,20.35364441960553,24.65027529322822,54.166666666666664
validation_day_0030,9.0,7.16144950134238,0.9404087909231135,6.027535669718656,0,-6.543304168155939,1.0,20.27737971747633,24.65773928946964,58.333333333333336
