Category,Metric,PPO Seed 123,Thermostat,PPO - Thermostat,Improvement (%)
Efficiency,Total Energy,38.9977901307866,82.0,-43.0022098692134,52.441719352699266
Efficiency,Electricity Cost,30.177458780169008,59.13522759203261,-28.9577688118636,48.96872810169945
Comfort,Mean Temperature Deviation,0.3510014616623831,0.8363423893907815,-0.48534092772839843,58.03136776098796
Comfort,Total Discomfort,0.0005016531532469,49.92712541566722,-49.92662376251398,99.9989952292485
Comfort,Comfort-Band %,99.58333333333333,63.33333333333333,36.25,57.236842105263165
Safety,Safety Violations,0.0,0.0,0.0,
Safety,Lower Violations,0.0,0.0,0.0,
Safety,Upper Violations,0.0,0.0,0.0,
Overall Objective,Cumulative Reward,-17.735029456531066,-56.3978956846734,38.662866228142335,68.55373903365208
Efficiency,Peak HVAC Energy,0.3740311861038208,1.0,-0.6259688138961792,62.59688138961792
Safety Range,Minimum Temperature,20.999498346846757,20.195437671297473,0.8040606755492838,
Safety Range,Maximum Temperature,22.81675133317486,24.761575799303486,-1.944824466128626,
