Metric,Mean,Std_Dev,Minimum,Maximum,Coefficient_of_Variation_%
Total Energy,38.689666454059385,0.3070683324174732,38.38366446085274,38.9977901307866,0.7936701464771999
Electricity Cost,29.73828410234177,0.4003228103265042,29.393786578758466,30.17745878016901,1.3461530226452454
Mean Temp Deviation,0.34339741769919274,0.00849649979902605,0.3342265601465216,0.3510014616623831,2.4742468525109187
Total Discomfort,0.1504648143869822,0.19508907953648763,0.0005016531532469,0.3710246786143614,129.65760821313066
Comfort-Band %,99.30555555555556,0.2405626121623222,99.16666666666669,99.58333333333331,0.24224486819142935
Safety Violations,0.0,0.0,0.0,0.0,
Lower Violations,0.0,0.0,0.0,0.0,
Upper Violations,0.0,0.0,0.0,0.0,
Cumulative Reward,-17.614742682440962,0.1107600832920799,-17.73502945653108,-17.516967991470672,0.6287919459788062
Peak HVAC Energy,0.4205976724624634,0.059863622673021685,0.3740311861038208,0.4881225824356079,14.232989527150622
Minimum Temperature,20.92456140320519,0.07646690042836377,20.846651273167083,20.999498346846757,0.36544087570050904
Maximum Temperature,22.987551621385578,0.20694116056767944,22.81675133317486,23.217675951781445,0.9002314120967966
