Metric,Seed_123,MultiSeed_Mean,MultiSeed_Std,Seed123_ZScore
Total Energy,38.9977901307866,38.689666454059385,0.3070683324174732,1.0034368386392416
Electricity Cost,30.17745878016901,29.73828410234177,0.4003228103265042,1.0970513458102746
Mean Temp Deviation,0.3510014616623831,0.34339741769919274,0.00849649979902605,0.8949619423355973
Total Discomfort,0.0005016531532469,0.1504648143869822,0.19508907953648763,-0.7686907006278001
Comfort-Band %,99.58333333333331,99.30555555555556,0.2405626121623222,1.1547005383792712
Safety Violations,0.0,0.0,0.0,
Lower Violations,0.0,0.0,0.0,
Upper Violations,0.0,0.0,0.0,
Cumulative Reward,-17.73502945653108,-17.614742682440962,0.1107600832920799,-1.086011950468799
Peak HVAC Energy,0.3740311861038208,0.4205976724624634,0.059863622673021685,-0.7778761838886902
Minimum Temperature,20.999498346846757,20.92456140320519,0.07646690042836377,0.9799919078944569
Maximum Temperature,22.81675133317486,22.987551621385578,0.20694116056767944,-0.8253567716648504
