event_file,run_directory,reward_observations,first_reward_step,last_reward_step,first_reward,final_reward,reward_min,reward_max,train_metric_events
experiments/ppo_pilot/logs/PPO_1/events.out.tfevents.1787960152.6d4b1ad2fc6f.10872.0,PPO_1,20,256,5120,-51.523277282714844,-42.5480842590332,-51.523277282714844,-42.5480842590332,190
experiments/ppo_pilot/logs/PPO_2/events.out.tfevents.1788073353.a8077c1affad.2207.0,PPO_2,20,256,5120,-51.523277282714844,-42.5480842590332,-51.523277282714844,-42.5480842590332,190
experiments/ppo_pilot/logs/PPO_2/events.out.tfevents.1788074794.a8077c1affad.2207.1,PPO_2,59,5376,20224,-41.95002365112305,-7.513733386993408,-41.95002365112305,-7.513733386993408,580
experiments/ppo_pilot/logs/PPO_3/events.out.tfevents.1788133963.4b7b0f9ca5a6.1409.0,PPO_3,20,256,5120,-51.523277282714844,-42.5480842590332,-51.523277282714844,-42.5480842590332,190
experiments/ppo_pilot/logs/PPO_3/events.out.tfevents.1788133975.4b7b0f9ca5a6.1409.1,PPO_3,59,5376,20224,-41.95002365112305,-7.513733386993408,-41.95002365112305,-7.513733386993408,580
experiments/ppo_pilot/logs/PPO_4/events.out.tfevents.1788158058.2049521f3e22.905.0,PPO_4,20,256,5120,-51.523277282714844,-42.5480842590332,-51.523277282714844,-42.5480842590332,190
experiments/ppo_pilot/logs/PPO_4/events.out.tfevents.1788158075.2049521f3e22.905.1,PPO_4,59,5376,20224,-41.95002365112305,-7.513733386993408,-41.95002365112305,-7.513733386993408,580
experiments/ppo_pilot/logs/PPO_5/events.out.tfevents.1788161105.2ccb1d4d58e0.572.0,PPO_5,20,256,5120,-64.67251586914062,-41.14958190917969,-64.67251586914062,-41.14958190917969,190
experiments/ppo_pilot/logs/PPO_6/events.out.tfevents.1788161135.2ccb1d4d58e0.572.1,PPO_6,20,256,5120,-64.67251586914062,-41.14958190917969,-64.67251586914062,-41.14958190917969,190
experiments/ppo_pilot/logs/PPO_6/events.out.tfevents.1788161159.2ccb1d4d58e0.572.2,PPO_6,59,5376,20224,-41.699737548828125,-8.108230590820312,-41.699737548828125,-8.108230590820312,580
experiments/ppo_pilot/logs/PPO_7/events.out.tfevents.1788162961.2ccb1d4d58e0.572.3,PPO_7,20,256,5120,-64.67251586914062,-41.14958190917969,-64.67251586914062,-41.14958190917969,190
experiments/ppo_pilot/logs/PPO_7/events.out.tfevents.1788162976.2ccb1d4d58e0.572.4,PPO_7,59,5376,20224,-41.699737548828125,-8.108230590820312,-41.699737548828125,-8.108230590820312,580
