log_file,step,wall_time,episode_reward
experiments/ppo_pilot/logs/PPO_1/events.out.tfevents.1787960152.6d4b1ad2fc6f.10872.0,256,1787960152.8024414,-51.523277282714844
experiments/ppo_pilot/logs/PPO_1/events.out.tfevents.1787960152.6d4b1ad2fc6f.10872.0,512,1787960153.412186,-45.91461181640625
experiments/ppo_pilot/logs/PPO_1/events.out.tfevents.1787960152.6d4b1ad2fc6f.10872.0,768,1787960153.9129264,-43.50360870361328
experiments/ppo_pilot/logs/PPO_1/events.out.tfevents.1787960152.6d4b1ad2fc6f.10872.0,1024,1787960154.4001727,-45.22719192504883
experiments/ppo_pilot/logs/PPO_1/events.out.tfevents.1787960152.6d4b1ad2fc6f.10872.0,1280,1787960155.0927107,-46.65282440185547
experiments/ppo_pilot/logs/PPO_1/events.out.tfevents.1787960152.6d4b1ad2fc6f.10872.0,1536,1787960155.785669,-46.98460388183594
experiments/ppo_pilot/logs/PPO_1/events.out.tfevents.1787960152.6d4b1ad2fc6f.10872.0,1792,1787960156.6613808,-48.17605209350586
experiments/ppo_pilot/logs/PPO_1/events.out.tfevents.1787960152.6d4b1ad2fc6f.10872.0,2048,1787960157.3655052,-47.3505859375
experiments/ppo_pilot/logs/PPO_1/events.out.tfevents.1787960152.6d4b1ad2fc6f.10872.0,2304,1787960158.0394082,-47.161643981933594
experiments/ppo_pilot/logs/PPO_1/events.out.tfevents.1787960152.6d4b1ad2fc6f.10872.0,2560,1787960158.6983657,-46.163665771484375
experiments/ppo_pilot/logs/PPO_1/events.out.tfevents.1787960152.6d4b1ad2fc6f.10872.0,2816,1787960159.4360054,-45.812599182128906
experiments/ppo_pilot/logs/PPO_1/events.out.tfevents.1787960152.6d4b1ad2fc6f.10872.0,3072,1787960159.937004,-45.78310012817383
experiments/ppo_pilot/logs/PPO_1/events.out.tfevents.1787960152.6d4b1ad2fc6f.10872.0,3328,1787960160.448757,-46.02980041503906
experiments/ppo_pilot/logs/PPO_1/events.out.tfevents.1787960152.6d4b1ad2fc6f.10872.0,3584,1787960160.931871,-45.62614059448242
experiments/ppo_pilot/logs/PPO_1/events.out.tfevents.1787960152.6d4b1ad2fc6f.10872.0,3840,1787960161.4374733,-44.988277435302734
experiments/ppo_pilot/logs/PPO_1/events.out.tfevents.1787960152.6d4b1ad2fc6f.10872.0,4096,1787960161.955535,-43.08815383911133
experiments/ppo_pilot/logs/PPO_1/events.out.tfevents.1787960152.6d4b1ad2fc6f.10872.0,4352,1787960162.488169,-43.05738830566406
