log_file,observations,first_reward,final_reward,minimum_reward,maximum_reward,mean_reward
experiments/ppo_pilot/logs/PPO_1/events.out.tfevents.1787960152.6d4b1ad2fc6f.10872.0,20,-51.523277282714844,-42.5480842590332,-51.523277282714844,-42.5480842590332,-45.61779975891113
experiments/ppo_pilot/logs/PPO_10/events.out.tfevents.1788170195.408410dbec80.4524.3,20,-51.523277282714844,-42.5480842590332,-51.523277282714844,-42.5480842590332,-45.61779975891113
experiments/ppo_pilot/logs/PPO_10/events.out.tfevents.1788170217.408410dbec80.4524.4,59,-42.631595611572266,-7.99398946762085,-42.631595611572266,-7.99398946762085,-22.745324466188077
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170620.408410dbec80.10232.0,20,-51.523277282714844,-42.5480842590332,-51.523277282714844,-42.5480842590332,-45.61779975891113
experiments/ppo_pilot/logs/PPO_11/events.out.tfevents.1788170645.408410dbec80.10232.1,59,-41.95002365112305,-7.513733386993408,-41.95002365112305,-7.513733386993408,-22.31735593989744
experiments/ppo_pilot/logs/PPO_2/events.out.tfevents.1788073353.a8077c1affad.2207.0,20,-51.523277282714844,-42.5480842590332,-51.523277282714844,-42.5480842590332,-45.61779975891113
experiments/ppo_pilot/logs/PPO_2/events.out.tfevents.1788074794.a8077c1affad.2207.1,59,-41.95002365112305,-7.513733386993408,-41.95002365112305,-7.513733386993408,-22.31735593989744
experiments/ppo_pilot/logs/PPO_3/events.out.tfevents.1788133963.4b7b0f9ca5a6.1409.0,20,-51.523277282714844,-42.5480842590332,-51.523277282714844,-42.5480842590332,-45.61779975891113
experiments/ppo_pilot/logs/PPO_3/events.out.tfevents.1788133975.4b7b0f9ca5a6.1409.1,59,-41.95002365112305,-7.513733386993408,-41.95002365112305,-7.513733386993408,-22.31735593989744
experiments/ppo_pilot/logs/PPO_4/events.out.tfevents.1788158058.2049521f3e22.905.0,20,-51.523277282714844,-42.5480842590332,-51.523277282714844,-42.5480842590332,-45.61779975891113
experiments/ppo_pilot/logs/PPO_4/events.out.tfevents.1788158075.2049521f3e22.905.1,59,-41.95002365112305,-7.513733386993408,-41.95002365112305,-7.513733386993408,-22.31735593989744
experiments/ppo_pilot/logs/PPO_5/events.out.tfevents.1788161105.2ccb1d4d58e0.572.0,20,-64.67251586914062,-41.14958190917969,-64.67251586914062,-41.14958190917969,-47.50510921478271
experiments/ppo_pilot/logs/PPO_6/events.out.tfevents.1788161135.2ccb1d4d58e0.572.1,20,-64.67251586914062,-41.14958190917969,-64.67251586914062,-41.14958190917969,-47.50510921478271
experiments/ppo_pilot/logs/PPO_6/events.out.tfevents.1788161159.2ccb1d4d58e0.572.2,59,-41.699737548828125,-8.108230590820312,-41.699737548828125,-8.108230590820312,-23.44539306123378
experiments/ppo_pilot/logs/PPO_7/events.out.tfevents.1788162961.2ccb1d4d58e0.572.3,20,-64.67251586914062,-41.14958190917969,-64.67251586914062,-41.14958190917969,-47.50510921478271
experiments/ppo_pilot/logs/PPO_7/events.out.tfevents.1788162976.2ccb1d4d58e0.572.4,59,-41.699737548828125,-8.108230590820312,-41.699737548828125,-8.108230590820312,-23.44539306123378
experiments/ppo_pilot/logs/PPO_8/events.out.tfevents.1788169412.408410dbec80.4524.0,20,-51.523277282714844,-42.5480842590332,-51.523277282714844,-42.5480842590332,-45.61779975891113
experiments/ppo_pilot/logs/PPO_8/events.out.tfevents.1788169434.408410dbec80.4524.1,59,-41.95002365112305,-7.513733386993408,-41.95002365112305,-7.513733386993408,-22.31735593989744
experiments/ppo_pilot/logs/PPO_9/events.out.tfevents.1788170103.408410dbec80.4524.2,20,-51.523277282714844,-42.5480842590332,-51.523277282714844,-42.5480842590332,-45.61779975891113
