Metric,Mean,Std,Minimum,Maximum
Total Energy,38.689666454059385,0.3070683324174732,38.38366446085274,38.9977901307866
Electricity Cost,29.73828410234177,0.40032281032650463,29.393786578758466,30.17745878016901
Mean Temp Deviation,0.34339741769919274,0.00849649979902605,0.3342265601465216,0.3510014616623831
Total Discomfort,0.15046481438698223,0.19508907953648763,0.000501653153246906,0.3710246786143614
Comfort-Band %,99.30555555555556,0.24056261216233857,99.16666666666667,99.58333333333333
Safety Violations,0.0,0.0,0.0,0.0
Cumulative Reward,-17.614742682440962,0.1107600832920799,-17.73502945653108,-17.516967991470672
Peak HVAC Energy,0.4205976724624634,0.059863622673021685,0.3740311861038208,0.4881225824356079
Minimum Temperature,20.924561403205185,0.07646690042836203,20.846651273167083,20.999498346846753
Maximum Temperature,22.987551621385578,0.20694116056767944,22.81675133317486,23.217675951781445
